"","location","lat","long","alt","year","bloom_date","bloom_doy","species"
"45","kyoto",35.0119831,"135.6761135",44,1997,"1997-04-07",97,"Prunus jamasakura"
"46","kyoto",35.0119831,"135.6761135",44,1998,"1998-04-01",91,"Prunus jamasakura"
"47","kyoto",35.0119831,"135.6761135",44,1999,"1999-04-04",94,"Prunus jamasakura"
"48","kyoto",35.0119831,"135.6761135",44,2000,"2000-04-09",100,"Prunus jamasakura"
"49","kyoto",35.0119831,"135.6761135",44,2001,"2001-04-06",96,"Prunus jamasakura"
"50","kyoto",35.0119831,"135.6761135",44,2002,"2002-04-01",91,"Prunus jamasakura"
"51","kyoto",35.0119831,"135.6761135",44,2003,"2003-04-08",98,"Prunus jamasakura"
"52","kyoto",35.0119831,"135.6761135",44,2004,"2004-04-01",92,"Prunus jamasakura"
"53","kyoto",35.0119831,"135.6761135",44,2005,"2005-04-09",99,"Prunus jamasakura"
"54","kyoto",35.0119831,"135.6761135",44,2006,"2006-04-08",98,"Prunus jamasakura"
"55","kyoto",35.0119831,"135.6761135",44,2007,"2007-04-07",97,"Prunus jamasakura"
"56","kyoto",35.0119831,"135.6761135",44,2008,"2008-04-04",95,"Prunus jamasakura"
"57","kyoto",35.0119831,"135.6761135",44,2009,"2009-04-05",95,"Prunus jamasakura"
"58","kyoto",35.0119831,"135.6761135",44,2010,"2010-04-05",95,"Prunus jamasakura"
"59","kyoto",35.0119831,"135.6761135",44,2011,"2011-04-09",99,"Prunus jamasakura"
"60","kyoto",35.0119831,"135.6761135",44,2012,"2012-04-10",101,"Prunus jamasakura"
"61","kyoto",35.0119831,"135.6761135",44,2013,"2013-04-03",93,"Prunus jamasakura"
"62","kyoto",35.0119831,"135.6761135",44,2014,"2014-04-04",94,"Prunus jamasakura"
"63","kyoto",35.0119831,"135.6761135",44,2015,"2015-04-03",93,"Prunus jamasakura"
"64","kyoto",35.0119831,"135.6761135",44,2016,"2016-04-04",95,"Prunus jamasakura"
"65","kyoto",35.0119831,"135.6761135",44,2017,"2017-04-09",99,"Prunus jamasakura"
"66","kyoto",35.0119831,"135.6761135",44,2018,"2018-03-30",89,"Prunus jamasakura"
"67","kyoto",35.0119831,"135.6761135",44,2019,"2019-04-05",95,"Prunus jamasakura"
"68","kyoto",35.0119831,"135.6761135",44,2020,"2020-04-01",92,"Prunus jamasakura"
"69","kyoto",35.0119831,"135.6761135",44,2021,"2021-03-26",85,"Prunus jamasakura"
"70","kyoto",35.0119831,"135.6761135",44,2022,"2022-04-01",91,"Prunus jamasakura"
