"city","date","id","tmax","tmin","prcp","year","month","day","daily_Cd","daily_Ca","Cd_cumsum","prcp_cumsum","Ca_cumsum","diff_Ca_Cd","diff_Ca_Cd_cumsum","lat","long","alt","bloom_doy","is_bloom","doy"
"Sarnen",1981-04-08,"GME00124522",20,11,0,"1981",4,8,0,7.5,-197.59962693619,445.9,123.55,7.5,74.0503730638097,46.894217,8.252236,500,NA,0,98
"Unterseen",1986-03-30,"SZE00105086",10.5,0.7,9.5,"1986",3,30,-3.65,1.25,-339.316094133363,281.8,67.65,-2.4,-85.7160941333627,46.684958,7.854311,565,NA,0,89
"Hochdorf",2003-03-25,"GME00129634",17.2,-2.5,0,"2003",3,25,-2.90862944162436,4.6,-269.669243655746,488.4,50.8,1.69137055837563,-129.519243655746,47.166514,8.28935,490,NA,0,84
"Laufenburg",1970-03-17,"GME00128542",5.5,0,1.8,"1970",3,17,-2.75,0,-197.424081475014,637.1,2.45,-2.75,-2.32408147501402,47.561031,8.063136,330,NA,0,76
"Herzogenbuchsee",2001-04-03,"SZ000001940",13.9,7.8,0,"2001",4,3,-0.0999999999999996,2.95,-243.960708793026,482.7,114.15,2.85,88.4392912069736,47.18465,7.702511,450,NA,0,93
"Rafz",1999-03-16,"GME00130618",13.4,3.5,0,"1999",3,16,-2.25,2.7,-214.425368575532,635.2,29.3,0.450000000000001,-80.2253685755322,47.620414,8.542733,515,NA,0,75
"Murg",1996-03-28,"GME00102404",6.3,-1.1,0,"1996",3,28,-2.68175675675676,0,-180.438453786295,287.4,28.6,-2.68175675675676,41.9115462137054,47.108222,9.217372,500,NA,0,88
"Azmoos",1991-03-28,"GME00128830",6.2,-1.8,0.7,"1991",3,28,-2.4025,0,-214.328764254423,546.9,68.55,-2.4025,37.4712357455771,47.076869,9.479753,480,NA,0,87
"Hochdorf",1958-04-06,"GME00129634",3.8,-1.2,7.1,"1958",4,6,-1.444,0,-267.600386345623,469,42.7,-1.444,-105.350386345623,47.166514,8.28935,490,NA,0,96
"Zürich-MeteoSchweiz",1978-04-29,"SZ000003700",19,6.3,0,"1978",4,29,-0.850000000000001,5.5,-277.202419857457,617.4,90.2,4.65,-7.60241985745738,47.378142,8.565853,555,NA,0,119
"Unterseen",1982-03-29,"SZE00105086",17.3,2.4,0,"1982",3,29,-2.8,4.65,-386.242178172826,401.8,78.85,1.85,-168.692178172826,46.684958,7.854311,565,NA,0,88
"Domat ",1997-04-01,"GME00132694",14.5,2.5,0,"1997",4,1,-2.75,3.25,-220.293432130114,376.2,54.05,0.5,-76.1434321301136,46.834311,9.457442,580,NA,0,91
"Liestal",2013-04-25,"GME00127786",25.9,7.6,0,"2013",4,25,-0.200000000000001,8.95,-287.648744065083,672.6,140.65,8.75,61.0012559349173,47.481403,7.730519,350,NA,0,115
"Azmoos",1989-04-01,"GME00128830",16,7.4,30.7,"1989",4,1,-0.299999999999999,4,-263.964283353339,625.4,95.7,3.7,-25.7142833533395,47.076869,9.479753,480,NA,0,91
"Sarnen",1982-04-06,"GME00124522",19,10,0.6,"1982",4,6,0,6.5,-270.650196734557,634.3,71.55,6.5,-34.9001967345569,46.894217,8.252236,500,NA,0,96
"Villnachern",2007-04-22,"GME00120934",14.5,9.1,0,"2007",4,22,0,3.8,-242.447639765184,805.4,42.8,3.8,-116.597639765184,47.470556,8.154928,415,NA,0,112
"Jegenstorf II",2001-04-16,"FRM00007299",10.1,2.6,1.3,"2001",4,16,-2.7,1.05,-371.577898948205,551.9,167.3,-1.65,41.4721010517952,47.049108,7.507072,525,NA,0,106
"Murg",2015-04-20,"GME00102404",19.7,4.2,0,"2015",4,20,-1.9,5.85,-292.519614781127,365.8,146.5,3.95,98.8803852188729,47.108222,9.217372,500,NA,0,110
"Azmoos",1992-03-28,"GME00128830",3.2,-0.5,11.2,"1992",3,28,-1.38378378378378,0,-269.293332718119,615.2,40.2,-1.38378378378378,-121.593332718119,47.076869,9.479753,480,NA,0,88
"Orbe ",2016-04-09,"SZ000008440",10.4,2.1,0,"2016",4,9,-2.95,1.2,-399.512376236767,394.4,117.5,-1.75,-105.312376236767,46.722633,6.536061,485,NA,0,100
"Sarnen",2017-04-20,"GME00124522",11.1,-2.9,0,"2017",4,20,-2.85035714285714,1.55,-354.769686953376,272.8,228.7,-1.30035714285714,17.3803130466238,46.894217,8.252236,500,NA,0,110
"Merishausen",2012-04-09,"GME00122710",7.5,-2.3,0.1,"2012",4,9,-2.86989795918367,0,-369.20347483742,314.3,120.05,-2.86989795918367,-105.20347483742,47.763636,8.612414,540,NA,0,100
"Orbe ",1956-03-18,"SZ000008440",12.8,1.1,1.3,"1956",3,18,-3.45,2.4,-251.759060209382,670.7,35.05,-1.05,-96.6090602093824,46.722633,6.536061,485,NA,0,78
"Villnachern",1953-04-03,"GME00120934",9.7,3.9,2.4,"1953",4,3,-2.05,0.85,-144.32301967168,1101.6,0,-1.2,-135.37301967168,47.470556,8.154928,415,NA,0,93
"Muri, AG",1996-04-05,"GME00132346",7.4,0.1,0,"1996",4,5,-3.65,0,-220.731236598895,387,28.85,-3.65,36.768763401105,47.265317,8.332283,550,NA,0,96
"Villnachern",1981-03-19,"GME00120934",1.3,-8.2,0,"1981",3,19,-0.0889473684210526,0,-119.726724088034,1019.8,0,-0.0889473684210526,-90.176724088034,47.470556,8.154928,415,NA,0,78
"Unterseen",2005-03-25,"SZE00105086",19.8,8.6,0,"2005",3,25,0,6.2,-231.376488409861,177.6,78.05,6.2,32.5235115901385,46.684958,7.854311,565,NA,0,84
"Herzogenbuchsee",1963-03-24,"SZ000001940",9.8,-4.1,0,"1963",3,24,-2.55467625899281,0.9,-206.147672436932,205.7,37.25,-1.65467625899281,-18.1476724369323,47.18465,7.702511,450,NA,0,83
"Villnachern",2015-03-27,"GME00120934",-1.4,-3.5,0.2,"2015",3,27,0,0,-144.51988024043,761.5,0,0,-61.4198802404302,47.470556,8.154928,415,NA,0,86
"Diessenhofen",2012-03-29,"GME00131362",19.8,3.3,0,"2012",3,29,-2.35,5.9,-322.766977282439,323.7,111.6,3.55,-84.7169772824394,47.690281,8.744,410,NA,0,89
"Herzogenbuchsee",2013-04-22,"SZ000001940",12.6,7.9,0,"2013",4,22,-0.0499999999999998,2.3,-274.502674445692,552.2,99.7,2.25,27.7973255543082,47.18465,7.702511,450,NA,0,112
"Locarno",1974-04-26,"SZ000009480",13.4,5.7,7.2,"1974",4,26,-1.15,2.7,-316.839731538307,750.7,192.55,1.55,87.0102684616928,46.169278,8.798214,200,NA,0,116
"Muri, AG",1995-04-17,"GME00132346",9.3,2.1,0.3,"1995",4,17,-2.95,0.65,-360.474766538975,627.6,116.8,-2.3,-40.3247665389752,47.265317,8.332283,550,NA,0,107
"Boudry",1968-03-16,"SZE00116090",7,1.7,0,"1968",3,16,-2.65,0,-226.820836344065,457.9,4.45,-2.65,-46.9208363440645,46.949492,6.834386,450,NA,0,76
"Zürich-Witikon",1963-04-19,"GME00127546",17.4,3.5,0,"1963",4,19,-2.25,4.7,-233.08435097102,263.2,72.55,2.45,-25.8343509710196,47.3591,8.590272,620,NA,0,109
"Unterseen",1962-04-14,"SZE00105086",8.9,2.8,0,"1962",4,14,-2.6,0.45,-379.014422680548,519.7,98.05,-2.15,-100.014422680548,46.684958,7.854311,565,NA,0,104
"Hochdorf",2014-03-16,"GME00129634",14.8,1.7,0,"2014",3,16,-3.15,3.4,-291.731931585226,331,42.8,0.250000000000001,-121.131931585226,47.166514,8.28935,490,NA,0,75
"Hochdorf",1989-03-22,"GME00129634",10.1,1.8,5.1,"1989",3,22,-3.1,1.05,-273.334298462659,337.1,40.6,-2.05,-125.784298462659,47.166514,8.28935,490,NA,0,81
"Locarno",1964-04-18,"SZ000009480",20.2,11.4,2,"1964",4,18,0,7.8,-298.269070439171,842.2,146.5,7.8,87.9809295608288,46.169278,8.798214,200,NA,0,109
"Hochdorf",1998-04-04,"GME00129634",11.2,2.5,4.6,"1998",4,4,-2.75,1.6,-319.951006352897,371.4,94.1,-1.15,-107.901006352897,47.166514,8.28935,490,NA,0,94
"Orbe ",1957-04-23,"SZ000008440",21.1,2.2,0,"1957",4,23,-2.9,6.55,-377.984639488391,967.5,212.35,3.65,-51.4846394883914,46.722633,6.536061,485,NA,0,113
"Rafz",2000-03-30,"GME00130618",5.8,3,1.3,"2000",3,30,-1.4,0,-286.277373345313,530.3,71.85,-1.4,-88.777373345313,47.620414,8.542733,515,NA,0,90
"Herzogenbuchsee",1995-04-15,"SZ000001940",12.8,1.8,5.1,"1995",4,15,-3.1,2.4,-344.581474821437,459.8,141.8,-0.7,14.9685251785626,47.18465,7.702511,450,NA,0,105
"Villnachern",1957-03-21,"GME00120934",5.4,0.2,0,"1957",3,21,-2.6,0,-129.211955110502,759.1,0,-2.6,-100.011955110502,47.470556,8.154928,415,NA,0,80
"Laufenburg",1997-03-18,"GME00128542",19.3,2,0.3,"1997",3,18,-3,5.65,-252.642296045088,524,102.7,2.65,-23.0922960450878,47.561031,8.063136,330,NA,0,77
"Liestal",1988-04-10,"GME00127786",12,3.4,0.1,"1988",4,10,-2.3,2,-296.667396506925,534.8,67.6,-0.300000000000001,-31.0173965069251,47.481403,7.730519,350,NA,0,101
"Herzogenbuchsee",1985-03-19,"SZ000001940",1.2,-3.2,0,"1985",3,19,-0.163636363636364,0,-241.09025389024,232.9,18.65,-0.163636363636364,-48.2402538902405,47.18465,7.702511,450,NA,0,78
"Boudry",2002-03-19,"SZE00116090",13.3,9.2,9.6,"2002",3,19,0,3.25,-218.043107754014,257.8,51.2,3.25,61.3068922459865,46.949492,6.834386,450,NA,0,78
"Herzogenbuchsee",1961-03-24,"SZ000001940",15.8,0.1,0,"1961",3,24,-3.95,3.9,-294.852451513052,293.3,143.55,-0.0499999999999998,21.147548486948,47.18465,7.702511,450,NA,0,83
"Sarnen",1985-04-04,"GME00124522",25.2,9.8,0,"1985",4,4,0,9.5,-253.225710463902,356.6,70.75,9.5,3.77428953609815,46.894217,8.252236,500,NA,0,94
"Orbe ",2002-03-23,"SZ000008440",11.3,4,0,"2002",3,23,-2,1.65,-235.41414475482,333.9,84.8,-0.35,117.78585524518,46.722633,6.536061,485,NA,0,82
"Orbe ",2001-04-06,"SZ000008440",16.6,6.5,24.7,"2001",4,6,-0.75,4.3,-280.191624377388,865.9,139.85,3.55,52.9083756226117,46.722633,6.536061,485,NA,0,96
"Rafz",2006-04-08,"GME00130618",17.4,-2.5,3.4,"2006",4,8,-2.9070351758794,4.7,-236.437009544691,560.8,59.9,1.7929648241206,-15.8870095446909,47.620414,8.542733,515,NA,0,98
"Laufenburg",1997-04-17,"GME00128542",11.4,-3.1,0,"1997",4,17,-2.78137931034483,1.7,-335.482444548559,554.9,183.9,-1.08137931034483,-24.7324445485594,47.561031,8.063136,330,NA,0,107
"Zürich-MeteoSchweiz",1985-03-20,"SZ000003700",4.7,-6.4,0,"1985",3,20,-0.995045045045045,0,-211.395830598582,378.7,4.75,-0.995045045045045,-69.9958305985816,47.378142,8.565853,555,NA,0,79
"Boudry",2013-04-01,"SZE00116090",5.9,-0.5,0,"2013",4,1,-2.71953125,0,-256.098014646026,511.4,19.2,-2.71953125,-78.0980146460263,46.949492,6.834386,450,NA,0,91
"Locarno",2018-03-25,"SZ000009480",12.3,5.2,0,"2018",3,25,-1.4,2.15,-302.715372245802,438.7,52.15,0.750000000000001,37.484627754198,46.169278,8.798214,200,NA,0,84
"Hochdorf",1977-04-27,"GME00129634",11.8,5.5,0.2,"1977",4,27,-1.25,1.9,-346.270108761011,484.9,101.65,0.65,-130.820108761011,47.166514,8.28935,490,NA,0,117
"Hochdorf",1997-04-07,"GME00129634",7.8,-3.8,0,"1997",4,7,-2.62241379310345,0,-297.703297147003,408.6,87.05,-2.62241379310345,-125.153297147003,47.166514,8.28935,490,NA,0,97
"Laufenburg",1977-04-03,"GME00128542",12.3,1.7,0.5,"1977",4,3,-3.15,2.15,-249.073896148905,691.1,105.35,-0.999999999999999,-0.273896148905143,47.561031,8.063136,330,NA,0,93
"Hochdorf",1960-03-17,"GME00129634",5.1,0.6,0,"1960",3,17,-2.25,0,-308.384362883714,333.7,28.2,-2.25,-157.734362883714,47.166514,8.28935,490,NA,0,77
"Azmoos",2014-04-05,"GME00128830",12.6,5.9,14.9,"2014",4,5,-1.05,2.3,-341.925630569034,471.5,121.75,1.25,-41.2256305690337,47.076869,9.479753,480,NA,0,95
"Orbe ",1971-03-31,"SZ000008440",14,-2.1,0,"1971",3,31,-3.08695652173913,3,-292.948487827092,502.6,19.35,-0.0869565217391299,-117.648487827092,46.722633,6.536061,485,NA,0,90
"Unterseen",1979-03-23,"SZE00105086",9.9,2.5,0.5,"1979",3,23,-2.75,0.95,-361.580477861638,299.7,67.4,-1.8,-154.730477861638,46.684958,7.854311,565,NA,0,82
"Jegenstorf II",1993-04-08,"FRM00007299",14.4,6.9,1,"1993",4,8,-0.55,3.2,-342.830218130232,309,166.45,2.65,11.5197818697679,47.049108,7.507072,525,NA,0,98
"Rafz",2002-04-20,"GME00130618",11,1,4.3,"2002",4,20,-3.5,1.5,-326.821078601614,659.8,154.8,-2,33.6289213983864,47.620414,8.542733,515,NA,0,110
"Herzogenbuchsee",2014-04-11,"SZ000001940",21.9,4.7,0,"2014",4,11,-1.65,6.95,-346.360344005431,405.9,195.5,5.3,70.9396559945692,47.18465,7.702511,450,NA,0,101
"Hochdorf",2001-04-18,"GME00129634",7.5,0.6,2.9,"2001",4,18,-3.45,0,-350.207433262249,557.8,60.75,-3.45,-183.607433262249,47.166514,8.28935,490,NA,0,108
"Sarnen",2008-03-22,"GME00124522",5.5,2,0.2,"2008",3,22,-1.75,0,-313.70352499925,223.8,101.15,-1.75,-53.4535249992502,46.894217,8.252236,500,NA,0,82
"Silenen",1997-03-28,"GME00126514",9.2,0.2,3.7,"1997",3,28,-3.9,0.6,-250.590781766547,276.9,54.2,-3.3,-125.640781766547,46.782531,8.669625,510,NA,0,87
"Villnachern",2007-04-07,"GME00120934",9.5,0.4,0,"2007",4,7,-3.8,0.75,-222.435517929416,805.4,5.25,-3.05,-134.135517929416,47.470556,8.154928,415,NA,0,97
"Herzogenbuchsee",1976-04-23,"SZ000001940",3.7,2,14.8,"1976",4,23,-0.85,0,-339.860680853218,270.2,169.95,-0.85,-46.6606808532181,47.18465,7.702511,450,NA,0,114
"Herzogenbuchsee",1993-04-22,"SZ000001940",23.5,10.8,0,"1993",4,22,0,9.15,-314.833616889287,402.7,167.65,9.15,8.61638311071344,47.18465,7.702511,450,NA,0,112
"Jegenstorf II",1984-04-09,"FRM00007299",16.4,8.9,0,"1984",4,9,0,4.65,-304.216577262702,354.7,154.7,4.65,201.983422737298,47.049108,7.507072,525,NA,0,100
"Herzogenbuchsee",1994-04-11,"SZ000001940",9.1,0,7,"1994",4,11,-4,0.55,-290.308851917694,352.7,139.15,-3.45,-19.2088519176939,47.18465,7.702511,450,NA,0,101
"Locarno",1993-03-20,"SZ000009480",20.7,8.5,0,"1993",3,20,0,6.6,-309.244733016413,370.1,93.65,6.6,-28.3947330164126,46.169278,8.798214,200,NA,0,79
"Muri, AG",2009-03-23,"GME00132346",10.1,1.3,17.6,"2009",3,23,-3.35,1.05,-279.042797975853,510.1,31.1,-2.3,-96.3927979758534,47.265317,8.332283,550,NA,0,82
"Murg",1985-03-28,"GME00102404",6.5,0,0,"1985",3,28,-3.25,0,-234.427984478892,273.2,18.7,-3.25,-76.5779844788915,47.108222,9.217372,500,NA,0,87
"Boudry",1997-04-07,"SZE00116090",12.6,0.9,0,"1997",4,7,-3.55,2.3,-314.959839021556,231.3,133.9,-1.25,-68.9598390215564,46.949492,6.834386,450,NA,0,97
"Hochdorf",1977-03-16,"GME00129634",16.7,0.6,0,"1977",3,16,-3.7,4.35,-256.257269313419,397.1,43.9,0.649999999999999,-98.5572693134191,47.166514,8.28935,490,NA,0,75
"Azmoos",2016-03-18,"GME00128830",12,-3.7,0,"2016",3,18,-2.5859872611465,2,-337.700513354194,579.1,43.55,-0.585987261146498,-137.950513354194,47.076869,9.479753,480,NA,0,78
"Boudry",1968-04-23,"SZE00116090",25,8.8,1.3,"1968",4,23,0,8.9,-309.117981705985,512.7,141.9,8.9,8.23201829401482,46.949492,6.834386,450,NA,0,114
"Murg",2012-03-22,"GME00102404",20.2,3.1,0,"2012",3,22,-2.45,6.1,-283.540105809837,316.9,64.55,3.65,-71.2901058098375,47.108222,9.217372,500,NA,0,82
"Domat ",1997-03-19,"GME00132694",11.8,1.4,2.8,"1997",3,19,-3.3,1.9,-190.040114409583,354.8,45.05,-1.4,-54.8901144095827,46.834311,9.457442,580,NA,0,78
"Villnachern",1978-03-31,"GME00120934",4.7,0.8,0,"1978",3,31,-1.95,0,-143.6749225779,1135,0,-1.95,-78.5249225778999,47.470556,8.154928,415,NA,0,90
"Boudry",1972-04-25,"SZE00116090",4.9,0.7,0,"1972",4,25,-2.1,0,-351.563575962164,342.7,125.95,-2.1,-96.5135759621636,46.949492,6.834386,450,NA,0,116
"Orbe ",2004-04-17,"SZ000008440",16,10,0.1,"2004",4,17,0,5,-395.019198381337,499.5,133.2,5,-152.569198381337,46.722633,6.536061,485,NA,0,108
"Locarno",1979-04-24,"SZ000009480",11.8,7.4,24.5,"1979",4,24,-0.300000000000001,1.9,-308.792872227953,762.2,125.3,1.6,36.5071277720467,46.169278,8.798214,200,NA,0,114
"Hochdorf",1959-04-22,"GME00129634",9,-7.4,0,"1959",4,22,-1.96951219512195,0.5,-379.790942615187,491.7,134.55,-1.46951219512195,-170.840942615187,47.166514,8.28935,490,NA,0,112
"Liestal",2018-04-04,"GME00127786",21.6,6.5,6.2,"2018",4,4,-0.75,6.8,-325.40307803486,515.1,95.7,6.05,-23.8530780348599,47.481403,7.730519,350,NA,0,94
"Domat ",2001-04-24,"GME00132694",14,2.5,0,"2001",4,24,-2.75,3,-304.093862643253,615.3,58.8,0.25,-142.893862643253,46.834311,9.457442,580,NA,0,114
"Zürich-MeteoSchweiz",1989-04-27,"SZ000003700",4.5,1.1,6.7,"1989",4,27,-1.7,0,-294.238141505561,526.8,149.85,-1.7,-16.4381415055612,47.378142,8.565853,555,NA,0,117
"Muri, AG",1994-04-18,"GME00132346",7.2,3.4,0.1,"1994",4,18,-1.9,0,-315.72340197731,683.3,118.95,-1.9,-74.6734019773104,47.265317,8.332283,550,NA,0,108
"Liestal",1977-03-29,"GME00127786",4.4,0.1,0.2,"1977",3,29,-2.15,0,-227.035302838148,572.4,114.25,-2.15,62.2146971618523,47.481403,7.730519,350,NA,0,88
"Azmoos",1992-04-04,"GME00128830",9,4.2,2.3,"1992",4,4,-1.9,0.5,-289.900672167661,645.5,48.55,-1.4,-133.850672167661,47.076869,9.479753,480,NA,0,95
"Muri, AG",2002-04-14,"GME00132346",5.2,1,10.1,"2002",4,14,-2.1,0,-258.049451974359,463.9,115.55,-2.1,137.500548025641,47.265317,8.332283,550,NA,0,104
"Rafz",2000-04-03,"GME00130618",19,3.2,0,"2000",4,3,-2.4,5.5,-298.774963706759,534.5,84.05,3.1,-89.0749637067587,47.620414,8.542733,515,NA,0,94
"Locarno",1964-04-11,"SZ000009480",16.7,6.7,0,"1964",4,11,-0.649999999999999,4.35,-296.769070439171,837.6,107.3,3.7,50.2809295608288,46.169278,8.798214,200,NA,0,102
"Liestal",1995-03-18,"GME00127786",13.2,7.5,5.2,"1995",3,18,-0.25,2.6,-254.951262440462,552,65.15,2.35,56.1487375595377,47.481403,7.730519,350,NA,0,77
"Domat ",1998-04-19,"GME00132694",6.5,1,3.3,"1998",4,19,-2.75,0,-305.466536546131,459.6,91.95,-2.75,-103.166536546131,46.834311,9.457442,580,NA,0,109
"Merishausen",2018-04-08,"GME00122710",22.6,2.4,0,"2018",4,8,-2.8,7.3,-325.621487731828,366.7,67.05,4.5,-110.121487731828,47.763636,8.612414,540,NA,0,98
"Boudry",1985-03-16,"SZE00116090",2.2,-1.5,1.7,"1985",3,16,-0.654054054054054,0,-227.448118634235,392.1,6.15,-0.654054054054054,-108.498118634235,46.949492,6.834386,450,NA,0,75
"Murg",1993-03-23,"GME00102404",10.4,6.9,4.6,"1993",3,23,-0.55,1.2,-229.956583894375,407.4,56.55,0.65,-66.356583894375,47.108222,9.217372,500,NA,0,82
"Unterseen",2000-03-27,"SZE00105086",11.2,1.8,0,"2000",3,27,-3.1,1.6,-297.856931026545,265.4,102.9,-1.5,-26.8069310265454,46.684958,7.854311,565,NA,0,87
"Hochdorf",1968-03-15,"GME00129634",5.3,0.6,8.4,"1968",3,15,-2.35,0,-203.086188793477,427,1.2,-2.35,-45.3861887934768,47.166514,8.28935,490,NA,0,75
"Rafz",1992-04-14,"GME00130618",16.6,6,0,"1992",4,14,-1,4.3,-327.972005974646,538.1,104.2,3.3,-115.722005974646,47.620414,8.542733,515,NA,0,105
"Rafz",1985-03-22,"GME00130618",11.6,1,0.9,"1985",3,22,-3.5,1.8,-255.064145445207,365.2,14.15,-1.7,-88.8641454452069,47.620414,8.542733,515,NA,0,81
"Zürich-MeteoSchweiz",1988-04-25,"SZ000003700",14.9,1.4,0,"1988",4,25,-3.3,3.45,-308.413773984047,518.8,97,0.15,-83.213773984047,47.378142,8.565853,555,NA,0,116
"Unterseen",2009-03-22,"SZE00105086",13,-2.9,0,"2009",3,22,-2.81446540880503,2.5,-276.589930223168,285.8,52.75,-0.314465408805031,-40.3399302231681,46.684958,7.854311,565,NA,0,81
"Liestal",1988-04-22,"GME00127786",21.5,4.2,0,"1988",4,22,-1.9,6.75,-307.167396506925,549,139.35,4.85,30.2326034930749,47.481403,7.730519,350,NA,0,113
"Locarno",1971-04-27,"SZ000009480",15.8,10.2,25.2,"1971",4,27,0,5,-347.587614635212,747.2,246.55,5,135.512385364788,46.169278,8.798214,200,NA,0,117
"Edlibach",1992-04-29,"GME00129094",10,5.5,0,"1992",4,29,-1.25,1,-349.40170660842,372.5,140.35,-0.25,-132.45170660842,47.179358,8.573208,750,NA,0,120
"Herzogenbuchsee",1955-04-20,"SZ000001940",15.2,-3.4,0,"1955",4,20,-2.61075268817204,3.6,-354.72639688406,407.1,140.2,0.989247311827956,-27.1763968840597,47.18465,7.702511,450,NA,0,110
"Rafz",1984-04-10,"GME00130618",11.8,-0.8,0,"1984",4,10,-3.62539682539682,1.9,-308.041292282143,575.9,34.9,-1.72539682539682,-132.841292282143,47.620414,8.542733,515,NA,0,101
"Liestal",1977-04-19,"GME00127786",10.9,4.5,9.4,"1977",4,19,-1.75,1.45,-278.299810100658,663.1,142.85,-0.3,39.5501898993417,47.481403,7.730519,350,NA,0,109
"Domat ",1991-04-19,"GME00132694",1.8,-1.4,4,"1991",4,19,-0.50625,0,-212.551983395494,437.5,61.3,-0.50625,10.9480166045061,46.834311,9.457442,580,NA,0,109
"Sarnen",1996-04-08,"GME00124522",17,6.5,0,"1996",4,8,-0.75,4.5,-217.5034576697,291.7,51.9,3.75,87.4965423302996,46.894217,8.252236,500,NA,0,99
"Laufenburg",1954-04-03,"GME00128542",13.6,9,1.1,"1954",4,3,0,3.3,-329.406263427531,359,84.15,3.3,-60.2562634275314,47.561031,8.063136,330,NA,0,93
"Rafz",2015-04-05,"GME00130618",7.9,-2,0,"2015",4,5,-3.1520202020202,0,-294.87527562999,471.9,77.25,-3.1520202020202,-5.12527562998978,47.620414,8.542733,515,NA,0,95
"Diessenhofen",2005-04-09,"GME00131362",5.8,1.4,1,"2005",4,9,-2.2,0,-226.891199331073,333.9,104.75,-2.2,13.7588006689274,47.690281,8.744,410,NA,0,99
"Sarnen",1979-04-23,"GME00124522",11.2,9,17.8,"1979",4,23,0,2.1,-299.621298609905,535.9,84.15,2.1,-59.2212986099047,46.894217,8.252236,500,NA,0,113
"Orbe ",1967-04-14,"SZ000008440",15.8,4.4,0,"1967",4,14,-1.8,3.9,-325.887335110792,552,119.35,2.1,-27.8373351107916,46.722633,6.536061,485,NA,0,104
"Herzogenbuchsee",1955-03-19,"SZ000001940",7.7,-4.2,2.9,"1955",3,19,-2.49117647058824,0,-291.930027542929,346.6,35.4,-2.49117647058824,-69.1800275429285,47.18465,7.702511,450,NA,0,78
"Liestal",1956-03-27,"GME00127786",18.4,4.4,1,"1956",3,27,-1.8,5.2,-258.503869375969,314.7,52.3,3.4,-56.253869375969,47.481403,7.730519,350,NA,0,87
"Murg",2011-04-01,"GME00102404",19.5,9.4,0,"2011",4,1,0,6.45,-257.75018196422,338.3,90.9,6.45,-6.30018196422023,47.108222,9.217372,500,NA,0,91
