"id","date","year","month","day","tmin","tmax","daily_GDD","AGDD","lat","long","alt"
"CA001108395",2022-03-17,2022,3,17,5.4,7.7,10.4,643.65,49.2237,-123.1636,24
"CA001108395",2022-03-18,2022,3,18,5.6,9.9,12.7,656.35,49.2237,-123.1636,24
"CA001108395",2022-03-19,2022,3,19,5.9,10,12.95,669.3,49.2237,-123.1636,24
"CA001108395",2022-03-20,2022,3,20,1.3,7.4,8.05,677.35,49.2237,-123.1636,24
"CA001108395",2022-03-21,2022,3,21,4.6,8.4,10.7,688.05,49.2237,-123.1636,24
"CA001108395",2022-03-22,2022,3,22,6.9,12.7,16.15,704.2,49.2237,-123.1636,24
"CA001108395",2022-03-23,2022,3,23,5.5,12.3,15.05,719.25,49.2237,-123.1636,24
"CA001108395",2022-03-24,2022,3,24,1.5,9.8,10.55,729.8,49.2237,-123.1636,24
"CA001108395",2022-03-25,2022,3,25,4.8,12.5,14.9,744.7,49.2237,-123.1636,24
"CA001108395",2022-03-26,2022,3,26,7.2,12.6,16.2,760.9,49.2237,-123.1636,24
"CA001108395",2022-03-27,2022,3,27,7.8,12.1,16,776.9,49.2237,-123.1636,24
"CA001108395",2022-03-28,2022,3,28,5.4,11.2,13.9,790.8,49.2237,-123.1636,24
"CA001108395",2022-03-29,2022,3,29,4.2,15.1,17.2,808,49.2237,-123.1636,24
"CA001108395",2022-03-30,2022,3,30,5.7,12.1,14.95,822.95,49.2237,-123.1636,24
"CA001108395",2022-03-31,2022,3,31,5.9,10.6,13.55,836.5,49.2237,-123.1636,24
"CA001108395",2022-04-01,2022,4,1,5.6,9.4,12.2,848.7,49.2237,-123.1636,24
"CA001108395",2022-04-02,2022,4,2,4.3,12,14.15,862.85,49.2237,-123.1636,24
"CA001108395",2022-04-03,2022,4,3,6,9.2,12.2,875.05,49.2237,-123.1636,24
"CA001108395",2022-04-04,2022,4,4,6,9.7,12.7,887.75,49.2237,-123.1636,24
"CA001108395",2022-04-05,2022,4,5,5.4,11.3,14,901.75,49.2237,-123.1636,24
"CA001108395",2022-04-06,2022,4,6,2.4,10.6,11.8,913.55,49.2237,-123.1636,24
"CA001108395",2022-04-07,2022,4,7,5.9,13.3,16.25,929.8,49.2237,-123.1636,24
"CA001108395",2022-04-08,2022,4,8,6.8,11.8,15.2,945,49.2237,-123.1636,24
"CA001108395",2022-04-09,2022,4,9,5.3,9.5,12.15,957.15,49.2237,-123.1636,24
"CA001108395",2022-04-10,2022,4,10,2.7,9.2,10.55,967.7,49.2237,-123.1636,24
"CA001108395",2022-04-11,2022,4,11,1,13.2,13.7,981.4,49.2237,-123.1636,24
"CA001108395",2022-04-12,2022,4,12,2.5,8,9.25,990.65,49.2237,-123.1636,24
"CA001108395",2022-04-13,2022,4,13,0.1,9.7,9.75,1000.4,49.2237,-123.1636,24
"CA001108395",2022-04-14,2022,4,14,-1.7,10.9,10.05,1010.45,49.2237,-123.1636,24
"CA001108395",2022-04-15,2022,4,15,2.5,8.8,10.05,1020.5,49.2237,-123.1636,24
"CA001108395",2022-04-16,2022,4,16,-1.2,10.9,10.3,1030.8,49.2237,-123.1636,24
"CA001108395",2022-04-17,2022,4,17,2.9,12.6,14.05,1044.85,49.2237,-123.1636,24
"CA001108395",2022-04-18,2022,4,18,5.5,11.8,14.55,1059.4,49.2237,-123.1636,24
"CA001108395",2022-04-19,2022,4,19,5.7,11.1,13.95,1073.35,49.2237,-123.1636,24
"CA001108395",2022-04-20,2022,4,20,2.4,14.1,15.3,1088.65,49.2237,-123.1636,24
"CA001108395",2022-04-21,2022,4,21,5.8,12.7,15.6,1104.25,49.2237,-123.1636,24
"CA001108395",2022-04-22,2022,4,22,5.8,13.1,16,1120.25,49.2237,-123.1636,24
"CA001108395",2022-04-23,2022,4,23,3.8,15.1,17,1137.25,49.2237,-123.1636,24
"CA001108395",2022-04-24,2022,4,24,5.2,16.9,19.5,1156.75,49.2237,-123.1636,24
"CA001108395",2022-04-25,2022,4,25,7.5,13.6,17.35,1174.1,49.2237,-123.1636,24
"CA001108395",2022-04-26,2022,4,26,3.9,11.8,13.75,1187.85,49.2237,-123.1636,24
"CA001108395",2022-04-27,2022,4,27,3.7,11.6,13.45,1201.3,49.2237,-123.1636,24
"CA001108395",2022-04-28,2022,4,28,2.9,12,13.45,1214.75,49.2237,-123.1636,24
"CA001108395",2022-04-29,2022,4,29,6.5,15.3,18.55,1233.3,49.2237,-123.1636,24
"CA001108395",2022-04-30,2022,4,30,8.2,14.2,18.3,1251.6,49.2237,-123.1636,24
