"id","date","year","month","day","tmin","tmax","city","lat","long","alt","daily_GDD","AGDD"
"CA001108395",2023-03-18,2023,3,18,3,9,"Vancouver",49.2237,"–123.1636",24,10.5,673.75
"CA001108395",2023-03-19,2023,3,19,4,10,"Vancouver",49.2237,"–123.1636",24,12,685.75
"CA001108395",2023-03-20,2023,3,20,4,10,"Vancouver",49.2237,"–123.1636",24,12,697.75
"CA001108395",2023-03-21,2023,3,21,4,10,"Vancouver",49.2237,"–123.1636",24,12,709.75
"CA001108395",2023-03-22,2023,3,22,2,10,"Vancouver",49.2237,"–123.1636",24,11,720.75
"CA001108395",2023-03-23,2023,3,23,4,10,"Vancouver",49.2237,"–123.1636",24,12,732.75
"CA001108395",2023-03-24,2023,3,24,4,10,"Vancouver",49.2237,"–123.1636",24,12,744.75
"CA001108395",2023-03-25,2023,3,25,4,10,"Vancouver",49.2237,"–123.1636",24,12,756.75
"CA001108395",2023-03-26,2023,3,26,3,10,"Vancouver",49.2237,"–123.1636",24,11.5,768.25
"CA001108395",2023-03-27,2023,3,27,1,10,"Vancouver",49.2237,"–123.1636",24,10.5,778.75
"CA001108395",2023-03-28,2023,3,28,1,10,"Vancouver",49.2237,"–123.1636",24,10.5,789.25
"CA001108395",2023-03-29,2023,3,29,4,9,"Vancouver",49.2237,"–123.1636",24,11,800.25
"CA001108395",2023-03-30,2023,3,30,5,9,"Vancouver",49.2237,"–123.1636",24,11.5,811.75
"CA001108395",2023-03-31,2023,3,31,5,10,"Vancouver",49.2237,"–123.1636",24,12.5,824.25
"CA001108395",2023-04-01,2023,4,1,2,10,"Vancouver",49.2237,"–123.1636",24,11,835.25
"CA001108395",2023-04-02,2023,4,2,6,10,"Vancouver",49.2237,"–123.1636",24,13,848.25
"CA001108395",2023-04-03,2023,4,3,5,12,"Vancouver",49.2237,"–123.1636",24,14.5,862.75
"CA001108395",2023-04-04,2023,4,4,3,13,"Vancouver",49.2237,"–123.1636",24,14.5,877.25
"CA001108395",2023-04-05,2023,4,5,3,11,"Vancouver",49.2237,"–123.1636",24,12.5,889.75
"CA001108395",2023-04-06,2023,4,6,4,11,"Vancouver",49.2237,"–123.1636",24,13,902.75
"CA001108395",2023-04-07,2023,4,7,3,12,"Vancouver",49.2237,"–123.1636",24,13.5,916.25
"CA001108395",2023-04-08,2023,4,8,3,11,"Vancouver",49.2237,"–123.1636",24,12.5,928.75
"CA001108395",2023-04-09,2023,4,9,4,12,"Vancouver",49.2237,"–123.1636",24,14,942.75
"CA001108395",2023-04-10,2023,4,10,5,11,"Vancouver",49.2237,"–123.1636",24,13.5,956.25
"CA001108395",2023-04-11,2023,4,11,4,12,"Vancouver",49.2237,"–123.1636",24,14,970.25
"CA001108395",2023-04-12,2023,4,12,5,13,"Vancouver",49.2237,"–123.1636",24,15.5,985.75
"CA001108395",2023-04-13,2023,4,13,6,13,"Vancouver",49.2237,"–123.1636",24,16,1001.75
"CA001108395",2023-04-14,2023,4,14,7,13,"Vancouver",49.2237,"–123.1636",24,16.5,1018.25
"CA001108395",2023-04-15,2023,4,15,8,13,"Vancouver",49.2237,"–123.1636",24,17,1035.25
"CA001108395",2023-04-16,2023,4,16,9,13,"Vancouver",49.2237,"–123.1636",24,17.5,1052.75
"CA001108395",2023-04-17,2023,4,17,8,14,"Vancouver",49.2237,"–123.1636",24,18,1070.75
"CA001108395",2023-04-18,2023,4,18,7,16,"Vancouver",49.2237,"–123.1636",24,19.5,1090.25
"CA001108395",2023-04-19,2023,4,19,8,16,"Vancouver",49.2237,"–123.1636",24,20,1110.25
"CA001108395",2023-04-20,2023,4,20,8,16,"Vancouver",49.2237,"–123.1636",24,20,1130.25
"CA001108395",2023-04-21,2023,4,21,8,16,"Vancouver",49.2237,"–123.1636",24,20,1150.25
"CA001108395",2023-04-22,2023,4,22,8,16,"Vancouver",49.2237,"–123.1636",24,20,1170.25
"CA001108395",2023-04-23,2023,4,23,9,17,"Vancouver",49.2237,"–123.1636",24,21.5,1191.75
"CA001108395",2023-04-24,2023,4,24,9,17,"Vancouver",49.2237,"–123.1636",24,21.5,1213.25
"CA001108395",2023-04-25,2023,4,25,8,17,"Vancouver",49.2237,"–123.1636",24,21,1234.25
"CA001108395",2023-04-26,2023,4,26,8,18,"Vancouver",49.2237,"–123.1636",24,22,1256.25
"CA001108395",2023-04-27,2023,4,27,9,18,"Vancouver",49.2237,"–123.1636",24,22.5,1278.75
"CA001108395",2023-04-28,2023,4,28,9,17,"Vancouver",49.2237,"–123.1636",24,21.5,1300.25
"CA001108395",2023-04-29,2023,4,29,9,18,"Vancouver",49.2237,"–123.1636",24,22.5,1322.75
"CA001108395",2023-04-30,2023,4,30,10,18,"Vancouver",49.2237,"–123.1636",24,23,1345.75
