"State","Latitude","Longitude","Elevation_in_Meters","Species","Phenophase_Status","AGDD","Tmax","Tmin","year","month","day","date","doy"
"OR",45.4856,-122.855499,63,"emarginata",0,440.25,11,2,2011,3,20,2011-03-20,79
"TN",35.879211,-84.172203,284,"serrulata",0,489,23.5,9.5,2011,3,20,2011-03-20,79
"TN",35.879211,-84.172203,284,"serrulata",0,571,11.5,5.5,2011,3,26,2011-03-26,85
"OR",45.4856,-122.855499,63,"emarginata",0,493.5,10,5,2011,3,27,2011-03-27,86
"TN",35.879211,-84.172203,284,"serrulata",0,592.75,14.5,2,2011,3,29,2011-03-29,88
"OR",45.4856,-122.855499,63,"emarginata",0,561.5,11,1.5,2011,4,3,2011-04-03,93
"TN",35.879211,-84.172203,284,"serrulata",0,635.75,22.5,2.5,2011,4,3,2011-04-03,93
"DC",38.886761,-77.041016,2,"yedoensis",1,436.25,27.5,9.5,2011,4,5,2011-04-05,95
"TN",35.879211,-84.172203,284,"serrulata",1,726.25,28.5,15.5,2011,4,9,2011-04-09,99
"NY",40.86618,-73.880226,23,"yedoensis",0,323.5,13.5,2,2011,4,9,2011-04-09,99
"OR",45.4856,-122.855499,63,"emarginata",0,624,12,3,2011,4,11,2011-04-11,101
"TN",35.879211,-84.172203,284,"serrulata",0,924.5,23.5,12,2011,4,21,2011-04-21,111
"WA",47.468678,-121.74054,163,"emarginata",0,245.75,8,2.5,2012,3,3,2012-03-03,63
"WA",47.468678,-121.74054,163,"emarginata",0,260.25,7.5,-5.5,2012,3,7,2012-03-07,67
"WA",47.468678,-121.74054,163,"emarginata",0,280.75,5,1,2012,3,11,2012-03-11,71
"CA",38.302135,-120.258217,1585,"emarginata",0,390.25,7,1.5,2012,3,16,2012-03-16,76
"WA",47.468678,-121.74054,163,"emarginata",0,298.75,9,1,2012,3,17,2012-03-17,77
"WA",47.468678,-121.74054,163,"emarginata",0,327,13,1,2012,3,24,2012-03-24,84
"WA",47.468678,-121.74054,163,"emarginata",0,354.25,10.5,3,2012,3,28,2012-03-28,88
"CA",37.799515,-122.412834,46,"serrulata",1,1008,16,9,2012,3,29,2012-03-29,89
"CA",38.302135,-120.258217,1585,"emarginata",0,523.25,14,2.5,2012,4,16,2012-04-16,107
"CA",37.799515,-122.412834,46,"serrulata",0,1248.25,18.5,10,2012,4,18,2012-04-18,109
"CA",38.302135,-120.258217,1585,"emarginata",0,605.75,26,10.5,2012,4,22,2012-04-22,113
"CA",38.302135,-120.258217,1585,"emarginata",0,636.25,19.5,8.5,2012,4,24,2012-04-24,115
"TN",35.879211,-84.172203,284,"serrulata",0,319.25,3.5,-4,2013,3,3,2013-03-03,62
"TN",35.879211,-84.172203,284,"serrulata",0,325.5,5.5,-1,2013,3,6,2013-03-06,65
"VA",37.243382,-80.427132,651,"serrulata",0,151.75,1.5,-3,2013,3,7,2013-03-07,66
"TN",35.879211,-84.172203,284,"serrulata",0,336.75,15,-1,2013,3,9,2013-03-09,68
"VA",37.243382,-80.427132,651,"serrulata",0,166.25,16.5,1,2013,3,11,2013-03-11,70
"CA",37.799515,-122.412834,46,"serrulata",0,747.75,19.5,7.5,2013,3,12,2013-03-12,71
"TN",35.879211,-84.172203,284,"serrulata",0,370.5,15,2.5,2013,3,12,2013-03-12,71
"VA",37.243382,-80.427132,651,"serrulata",0,179,3.5,-5.5,2013,3,14,2013-03-14,73
"TN",35.879211,-84.172203,284,"serrulata",0,384.25,15,-1.5,2013,3,15,2013-03-15,74
"TN",35.879211,-84.172203,284,"serrulata",0,416.25,24,11,2013,3,17,2013-03-17,76
"TN",35.879211,-84.172203,284,"serrulata",0,440.5,17,1.5,2013,3,19,2013-03-19,78
"TN",35.879211,-84.172203,284,"serrulata",0,447.5,14.5,-0.5,2013,3,20,2013-03-20,79
"VA",37.243382,-80.427132,651,"serrulata",0,208.5,8.5,-6,2013,3,21,2013-03-21,80
"CA",37.799515,-122.412834,46,"serrulata",1,890.5,19.5,6.5,2013,3,23,2013-03-23,82
"TN",35.879211,-84.172203,284,"serrulata",0,456.5,10,0.5,2013,3,23,2013-03-23,82
"TN",35.879211,-84.172203,284,"serrulata",0,469.5,9,0,2013,3,25,2013-03-25,84
"CO",39.731804,-104.961166,1639,"serrulata",0,222,5,-10.5,2013,3,26,2013-03-26,85
"CO",39.731804,-104.961166,1639,"yedoensis",0,222,5,-10.5,2013,3,26,2013-03-26,85
"TN",35.879211,-84.172203,284,"serrulata",0,479.75,12.5,-3,2013,3,28,2013-03-28,87
"TN",35.879211,-84.172203,284,"serrulata",0,493,13,3,2013,3,30,2013-03-30,89
"TN",35.879211,-84.172203,284,"serrulata",0,515.75,17.5,4.5,2013,4,1,2013-04-01,91
"VA",37.243382,-80.427132,651,"serrulata",0,235.5,12.5,4,2013,4,1,2013-04-01,91
"VA",37.243382,-80.427132,651,"serrulata",0,246.5,9.5,-3.5,2013,4,4,2013-04-04,94
"TN",35.879211,-84.172203,284,"serrulata",0,547.5,13.5,4,2013,4,5,2013-04-05,95
"TN",35.879211,-84.172203,284,"serrulata",0,559,20.5,2.5,2013,4,6,2013-04-06,96
"TN",35.879211,-84.172203,284,"serrulata",0,590.25,24,9.5,2013,4,8,2013-04-08,98
"TN",35.879211,-84.172203,284,"serrulata",1,629.5,28.5,12.5,2013,4,10,2013-04-10,100
"TN",35.879211,-84.172203,284,"serrulata",1,667.5,23,10,2013,4,12,2013-04-12,102
"TN",35.879211,-84.172203,284,"serrulata",1,694,21.5,6,2013,4,14,2013-04-14,104
"VA",37.243382,-80.427132,651,"serrulata",0,384.5,21.5,5.5,2013,4,15,2013-04-15,105
"TN",35.879211,-84.172203,284,"serrulata",1,751.25,26.5,15,2013,4,17,2013-04-17,107
"VA",37.243382,-80.427132,651,"serrulata",1,431.5,22.5,12,2013,4,18,2013-04-18,108
"CA",41.71357,-121.507545,1452,"emarginata",0,357.75,14.5,1.5,2013,4,19,2013-04-19,109
"TN",35.879211,-84.172203,284,"serrulata",1,799.5,18.5,1,2013,4,20,2013-04-20,110
"VA",37.243382,-80.427132,651,"serrulata",1,459.25,19,2,2013,4,20,2013-04-20,110
"CA",41.709045,-121.514771,1506,"emarginata",0,368.25,14.5,0.5,2013,4,22,2013-04-22,112
"VA",37.243382,-80.427132,651,"serrulata",1,471.75,12.5,-0.5,2013,4,22,2013-04-22,112
"VA",37.243382,-80.427132,651,"serrulata",1,479.25,14.5,0.5,2013,4,23,2013-04-23,113
"TN",35.879211,-84.172203,284,"serrulata",1,852.5,22.5,7.5,2013,4,24,2013-04-24,114
"NC",35.562538,-83.497864,2017,"pensylvanica",0,307.25,12.5,2,2013,4,27,2013-04-27,117
"TN",35.879211,-84.172203,284,"serrulata",0,900.75,14.5,11,2013,4,28,2013-04-28,118
"CA",41.71357,-121.507545,1452,"emarginata",0,473.75,15,-1,2013,4,30,2013-04-30,120
"TN",35.879211,-84.172203,284,"serrulata",0,933.5,25,10,2013,4,30,2013-04-30,120
"TN",35.879211,-84.172203,284,"serrulata",0,211.75,18.5,6.5,2014,3,2,2014-03-02,61
"CO",39.731804,-104.961166,1639,"serrulata",0,159.5,15,-2.5,2014,3,5,2014-03-05,64
"CO",39.731804,-104.961166,1639,"yedoensis",0,159.5,15,-2.5,2014,3,5,2014-03-05,64
"TN",35.879211,-84.172203,284,"serrulata",0,250,19,1.5,2014,3,8,2014-03-08,67
"CO",39.731804,-104.961166,1639,"serrulata",0,206.5,9,-8.5,2014,3,12,2014-03-12,71
"CO",39.731804,-104.961166,1639,"yedoensis",0,206.5,9,-8.5,2014,3,12,2014-03-12,71
"TN",35.879211,-84.172203,284,"serrulata",0,305,14,-0.5,2014,3,13,2014-03-13,72
"TN",35.879211,-84.172203,284,"serrulata",0,331.75,16,5.5,2014,3,16,2014-03-16,75
"CO",39.731804,-104.961166,1639,"serrulata",0,242.5,7.5,-6,2014,3,19,2014-03-19,78
"CO",39.731804,-104.961166,1639,"yedoensis",0,242.5,7.5,-6,2014,3,19,2014-03-19,78
"TN",35.879211,-84.172203,284,"serrulata",0,372.25,18,-0.5,2014,3,21,2014-03-21,80
"CO",39.731804,-104.961166,1639,"serrulata",0,260.5,13.5,-5,2014,3,24,2014-03-24,83
"CO",39.731804,-104.961166,1639,"yedoensis",0,260.5,13.5,-5,2014,3,24,2014-03-24,83
"TN",35.879211,-84.172203,284,"serrulata",0,406,7.5,-5,2014,3,26,2014-03-26,85
"CO",39.731804,-104.961166,1639,"serrulata",0,305,20,3,2014,3,30,2014-03-30,89
"CO",39.731804,-104.961166,1639,"yedoensis",1,305,20,3,2014,3,30,2014-03-30,89
"NY",44.272942,-73.947464,500,"pensylvanica",0,8,3.5,-6.5,2014,4,1,2014-04-01,91
"TN",35.590618,-83.470062,1794,"pensylvanica",0,170,19,8,2014,4,3,2014-04-03,93
"NC",35.562538,-83.497864,2017,"pensylvanica",0,141.75,18,8,2014,4,3,2014-04-03,93
"TN",35.590618,-83.470062,1794,"pensylvanica",0,187.75,11.5,-2.5,2014,4,5,2014-04-05,95
"NC",35.562538,-83.497864,2017,"pensylvanica",0,157.5,10,-3.5,2014,4,5,2014-04-05,95
"TN",35.879211,-84.172203,284,"serrulata",1,548,19,4.5,2014,4,6,2014-04-06,96
"CO",39.731804,-104.961166,1639,"serrulata",0,362,15,0,2014,4,8,2014-04-08,98
"CO",39.731804,-104.961166,1639,"yedoensis",1,362,15,0,2014,4,8,2014-04-08,98
"TN",35.590618,-83.470062,1794,"pensylvanica",0,201.5,2.5,-2,2014,4,9,2014-04-09,99
"NC",35.562538,-83.497864,2017,"pensylvanica",0,167.5,1,-3,2014,4,9,2014-04-09,99
"CA",41.71357,-121.507545,1452,"emarginata",0,451.75,22,3,2014,4,10,2014-04-10,100
"CA",41.709045,-121.514771,1506,"emarginata",0,440.5,21.5,3.5,2014,4,10,2014-04-10,100
"NY",44.272942,-73.947464,500,"pensylvanica",0,22.75,7.5,-5,2014,4,10,2014-04-10,100
"CO",39.731804,-104.961166,1639,"serrulata",0,403,23,4.5,2014,4,11,2014-04-11,101
"CO",39.731804,-104.961166,1639,"yedoensis",1,403,23,4.5,2014,4,11,2014-04-11,101
"TN",35.879211,-84.172203,284,"serrulata",1,632.25,25.5,10.5,2014,4,12,2014-04-12,102
"NC",35.562538,-83.497864,2017,"pensylvanica",0,212,17,7.5,2014,4,14,2014-04-14,104
"CO",39.731804,-104.961166,1639,"serrulata",0,429.75,11,-5,2014,4,15,2014-04-15,105
"CO",39.731804,-104.961166,1639,"yedoensis",0,429.75,11,-5,2014,4,15,2014-04-15,105
"TN",35.879211,-84.172203,284,"serrulata",1,688.25,12,-1.5,2014,4,16,2014-04-16,106
"NY",44.272942,-73.947464,500,"pensylvanica",0,65.75,8.5,-10.5,2014,4,16,2014-04-16,106
"CA",41.71357,-121.507545,1452,"emarginata",0,529,19,1.5,2014,4,17,2014-04-17,107
"CA",41.709045,-121.514771,1506,"emarginata",0,516.75,18.5,1.5,2014,4,17,2014-04-17,107
"CO",39.731804,-104.961166,1639,"serrulata",0,446.25,15,0,2014,4,17,2014-04-17,107
"CO",39.731804,-104.961166,1639,"yedoensis",1,446.25,15,0,2014,4,17,2014-04-17,107
"NY",44.272942,-73.947464,500,"pensylvanica",0,65.75,1.5,-10.5,2014,4,17,2014-04-17,107
"TN",35.590618,-83.470062,1794,"pensylvanica",0,259,10.5,-6,2014,4,17,2014-04-17,107
"TN",35.590618,-83.470062,1794,"pensylvanica",0,277.75,10.5,1.5,2014,4,20,2014-04-20,110
"NC",35.562538,-83.497864,2017,"pensylvanica",0,236.25,9.5,1.5,2014,4,20,2014-04-20,110
"TN",35.879211,-84.172203,284,"serrulata",1,755.5,25.5,7.5,2014,4,21,2014-04-21,111
"NY",44.272942,-73.947464,500,"pensylvanica",0,81.25,17.5,-0.5,2014,4,21,2014-04-21,111
"CA",41.71357,-121.507545,1452,"emarginata",0,581.5,12,1.5,2014,4,24,2014-04-24,114
"CA",41.709045,-121.514771,1506,"emarginata",0,567.75,11,0.5,2014,4,24,2014-04-24,114
"TN",35.879211,-84.172203,284,"serrulata",1,802.25,24,5.5,2014,4,24,2014-04-24,114
"CO",39.731804,-104.961166,1639,"serrulata",1,555.5,20.5,2.5,2014,4,25,2014-04-25,115
"MA",42.268288,-71.407219,54,"serrulata",0,307.5,16,2.5,2014,4,25,2014-04-25,115
"CO",39.731804,-104.961166,1639,"yedoensis",0,555.5,20.5,2.5,2014,4,25,2014-04-25,115
"NY",44.272942,-73.947464,500,"pensylvanica",0,105,9.5,-5,2014,4,25,2014-04-25,115
"NC",35.562538,-83.497864,2017,"pensylvanica",0,281.5,12.5,1.5,2014,4,26,2014-04-26,116
"TN",35.879211,-84.172203,284,"serrulata",0,854,28.5,10,2014,4,27,2014-04-27,117
"TN",35.590618,-83.470062,1794,"pensylvanica",0,342,20.5,9,2014,4,27,2014-04-27,117
"NY",44.272942,-73.947464,500,"pensylvanica",0,129.75,11,2,2014,4,30,2014-04-30,120
"CO",39.731804,-104.961166,1639,"serrulata",0,213.5,-4,-12.5,2015,3,4,2015-03-04,63
"CO",39.731804,-104.961166,1639,"yedoensis",0,213.5,-4,-12.5,2015,3,4,2015-03-04,63
"TN",35.879211,-84.172203,284,"serrulata",0,197.25,17,-2,2015,3,8,2015-03-08,67
"CA",41.71357,-121.507545,1452,"emarginata",0,365.5,17,2,2015,3,10,2015-03-10,69
"CA",41.709045,-121.514771,1506,"emarginata",0,358.25,16,2,2015,3,10,2015-03-10,69
"TN",35.879211,-84.172203,284,"serrulata",0,234.25,19,11,2015,3,11,2015-03-11,70
"CO",39.731804,-104.961166,1639,"serrulata",0,243.25,17.5,-1,2015,3,11,2015-03-11,70
"CO",39.731804,-104.961166,1639,"yedoensis",0,243.25,17.5,-1,2015,3,11,2015-03-11,70
"TN",35.879211,-84.172203,284,"serrulata",0,285.25,18.5,6.5,2015,3,15,2015-03-15,74
"CA",41.71357,-121.507545,1452,"emarginata",0,428,14.5,1,2015,3,17,2015-03-17,76
"CO",39.731804,-104.961166,1639,"serrulata",0,324.5,15.5,2.5,2015,3,18,2015-03-18,77
"CO",39.731804,-104.961166,1639,"yedoensis",0,324.5,15.5,2.5,2015,3,18,2015-03-18,77
"TN",35.879211,-84.172203,284,"serrulata",0,334.75,12,5.5,2015,3,19,2015-03-19,78
"TN",35.879211,-84.172203,284,"serrulata",0,369.5,19,8,2015,3,22,2015-03-22,81
"TN",35.879211,-84.172203,284,"serrulata",0,398.75,23,7.5,2015,3,24,2015-03-24,83
"CO",39.731804,-104.961166,1639,"serrulata",0,395.25,14,1.5,2015,3,25,2015-03-25,84
"NY",40.866119,-73.879341,25,"yedoensis",0,83.5,8.5,-3,2015,3,25,2015-03-25,84
"TN",35.879211,-84.172203,284,"serrulata",0,448.75,10,-0.5,2015,3,28,2015-03-28,87
"TN",35.879211,-84.172203,284,"serrulata",0,475.25,22.5,3,2015,3,31,2015-03-31,90
"CO",39.731804,-104.961166,1639,"serrulata",0,475.75,24.5,6,2015,4,1,2015-04-01,91
"CO",39.731804,-104.961166,1639,"yedoensis",0,475.75,24.5,6,2015,4,1,2015-04-01,91
"NY",40.866119,-73.879341,25,"yedoensis",0,115.75,10,-0.5,2015,4,1,2015-04-01,91
"TN",35.879211,-84.172203,284,"serrulata",0,522,23.5,10,2015,4,3,2015-04-03,93
"TN",35.879211,-84.172203,284,"serrulata",1,572.5,18.5,12,2015,4,7,2015-04-07,97
"CO",39.731804,-104.961166,1639,"serrulata",0,538.25,18.5,5,2015,4,8,2015-04-08,98
"CO",39.731804,-104.961166,1639,"yedoensis",0,538.25,18.5,5,2015,4,8,2015-04-08,98
"IN",38.451824,-87.360291,160,"yedoensis",1,372.25,23,14.5,2015,4,8,2015-04-08,98
"NY",40.866119,-73.879341,25,"yedoensis",0,193.25,12,3.5,2015,4,10,2015-04-10,100
"TN",35.879211,-84.172203,284,"serrulata",1,647.25,23,7.5,2015,4,11,2015-04-11,101
"NY",41.093391,-74.025383,122,"serrulata",0,166.25,20.5,2.5,2015,4,13,2015-04-13,103
"CA",41.71357,-121.507545,1452,"emarginata",0,599.75,10,-4,2015,4,14,2015-04-14,104
"CA",41.709045,-121.514771,1506,"emarginata",0,582.25,9,-4.5,2015,4,14,2015-04-14,104
"NY",44.272942,-73.947464,500,"pensylvanica",0,42,17.5,-0.5,2015,4,14,2015-04-14,104
"CO",39.731804,-104.961166,1639,"serrulata",0,612,22.5,4,2015,4,15,2015-04-15,105
"CO",39.731804,-104.961166,1639,"yedoensis",0,612,22.5,4,2015,4,15,2015-04-15,105
"TN",35.879211,-84.172203,284,"serrulata",1,738.25,19,13.5,2015,4,16,2015-04-16,106
"NY",40.866119,-73.879341,25,"yedoensis",0,267.5,18,7.5,2015,4,16,2015-04-16,106
"NY",44.272942,-73.947464,500,"pensylvanica",0,84,8.5,1,2015,4,21,2015-04-21,111
"TN",35.879211,-84.172203,284,"serrulata",1,839.5,22,7.5,2015,4,22,2015-04-22,112
"CO",39.731804,-104.961166,1639,"serrulata",0,659.25,20,2.5,2015,4,22,2015-04-22,112
"CO",39.731804,-104.961166,1639,"yedoensis",0,659.25,20,2.5,2015,4,22,2015-04-22,112
"NY",40.866119,-73.879341,25,"yedoensis",0,360,12.5,4,2015,4,23,2015-04-23,113
"TN",35.879211,-84.172203,284,"serrulata",0,879.25,22.5,7.5,2015,4,25,2015-04-25,115
"NC",35.562538,-83.497864,2017,"pensylvanica",0,345,13,5.5,2015,4,26,2015-04-26,116
"TN",35.879211,-84.172203,284,"serrulata",0,934,21,7,2015,4,29,2015-04-29,119
"CO",39.731804,-104.961166,1639,"serrulata",0,729.5,18.5,3,2015,4,29,2015-04-29,119
"CO",39.731804,-104.961166,1639,"yedoensis",0,729.5,18.5,3,2015,4,29,2015-04-29,119
"NY",40.866119,-73.879341,25,"yedoensis",1,428,24,9,2015,4,29,2015-04-29,119
"NY",44.272942,-73.947464,500,"pensylvanica",0,118.25,16,-1,2015,4,30,2015-04-30,120
"TN",35.590618,-83.470062,1794,"pensylvanica",0,411.25,8,1.5,2015,4,30,2015-04-30,120
"CA",37.545815,-122.327965,40,"serrulata",0,771,21,9.5,2016,3,1,2016-03-01,61
"MA",42.330338,-71.049316,1,"serrulata",0,150,4.5,-7,2016,3,3,2016-03-03,63
"CA",41.71357,-121.507545,1452,"emarginata",0,227.5,4,-4.5,2016,3,8,2016-03-08,68
"CA",41.709045,-121.514771,1506,"emarginata",0,216.75,3.5,-4.5,2016,3,8,2016-03-08,68
"CA",37.545815,-122.327965,40,"serrulata",0,866.75,14.5,6.5,2016,3,8,2016-03-08,68
"CA",37.545815,-122.327965,40,"serrulata",0,957.5,18,6.5,2016,3,15,2016-03-15,75
"NY",40.866119,-73.879341,25,"yedoensis",0,318.5,15,4.5,2016,3,18,2016-03-18,78
"CA",37.545815,-122.327965,40,"serrulata",0,1057.75,16,8.5,2016,3,22,2016-03-22,82
"NY",40.866119,-73.879341,25,"yedoensis",1,372.5,19,6,2016,3,25,2016-03-25,85
"CA",37.545815,-122.327965,40,"serrulata",0,1147,17,5.5,2016,3,29,2016-03-29,89
"NC",35.562538,-83.497864,2017,"pensylvanica",0,221,13.5,-0.5,2016,3,30,2016-03-30,90
"NY",40.866119,-73.879341,25,"yedoensis",1,444.25,23.5,12.5,2016,4,1,2016-04-01,92
"TN",35.590618,-83.470062,1794,"pensylvanica",0,270.75,12.5,-1,2016,4,2,2016-04-02,93
"CA",37.545815,-122.327965,40,"serrulata",0,1244.5,25.5,8,2016,4,5,2016-04-05,96
"NY",40.866119,-73.879341,25,"yedoensis",0,485,11.5,3.5,2016,4,8,2016-04-08,99
"NY",40.866119,-73.879341,25,"yedoensis",1,485,11.5,3.5,2016,4,8,2016-04-08,99
"CA",37.545815,-122.327965,40,"serrulata",0,1357.5,16,11,2016,4,12,2016-04-12,103
"AB",53.93327,-116.5765,1255,"emarginata",0,72,8.5,-8.5,2016,4,14,2016-04-14,105
"NY",40.866119,-73.879341,25,"yedoensis",1,540.25,17,3.5,2016,4,15,2016-04-15,106
"AB",53.93327,-116.5765,1255,"emarginata",1,108,20,1.5,2016,4,19,2016-04-19,110
"CA",37.545815,-122.327965,40,"serrulata",0,1472,26,11,2016,4,19,2016-04-19,110
"TN",35.590618,-83.470062,1794,"pensylvanica",0,357.75,20,7.5,2016,4,19,2016-04-19,110
"NY",40.866119,-73.879341,25,"yedoensis",1,612.5,20,8,2016,4,20,2016-04-20,111
"NY",40.866119,-73.879341,25,"yedoensis",0,645,24.5,12.5,2016,4,22,2016-04-22,113
"CA",37.545815,-122.327965,40,"serrulata",0,1572.5,17.5,6.5,2016,4,26,2016-04-26,117
"CA",41.71357,-121.507545,1452,"emarginata",1,610.5,14.5,0.5,2016,4,28,2016-04-28,119
"CA",41.709045,-121.514771,1506,"emarginata",0,584.5,14,0.5,2016,4,28,2016-04-28,119
"NY",40.866119,-73.879341,25,"yedoensis",0,737.25,14,7.5,2016,4,29,2016-04-29,120
"NY",40.808952,-73.082985,33,"serrulata",0,214.5,-0.5,-10.5,2017,3,5,2017-03-05,64
"NY",40.808952,-73.082985,33,"serrulata",0,243,-2,-8.5,2017,3,12,2017-03-12,71
"NY",40.808952,-73.082985,33,"serrulata",0,258.75,12.5,1.5,2017,3,21,2017-03-21,80
"NY",40.866119,-73.879341,25,"yedoensis",0,325.25,14,3.5,2017,3,21,2017-03-21,80
"NC",35.177742,-80.848755,197,"yedoensis",1,885.25,26.5,14.5,2017,3,28,2017-03-28,87
"NY",40.866119,-73.879341,25,"yedoensis",0,378.5,12,1.5,2017,3,30,2017-03-30,89
"NY",40.866119,-73.879341,25,"yedoensis",0,429.5,15,6.5,2017,4,5,2017-04-05,95
"VA",36.649811,-81.575768,1421,"pensylvanica",0,391.75,4.5,-4,2017,4,7,2017-04-07,97
"NY",40.866119,-73.879341,25,"yedoensis",1,497.75,25.5,11,2017,4,11,2017-04-11,101
"TN",35.590618,-83.470062,1794,"pensylvanica",0,421.25,19.5,6.5,2017,4,12,2017-04-12,102
"MO",39.032318,-94.59211,272,"serrulata",1,777.75,26.5,16,2017,4,15,2017-04-15,105
"TN",35.590618,-83.470062,1794,"pensylvanica",0,459,19,7.5,2017,4,15,2017-04-15,105
"TN",35.590618,-83.470062,1794,"pensylvanica",0,494.75,13.5,8,2017,4,18,2017-04-18,108
"NY",40.866119,-73.879341,25,"yedoensis",1,617,13.5,6.5,2017,4,19,2017-04-19,109
"CA",41.71357,-121.507545,1452,"emarginata",0,369.25,11,-1,2017,4,20,2017-04-20,110
"NY",40.667068,-73.991501,15,"serrulata",1,641.5,16.5,9,2017,4,20,2017-04-20,110
"TN",35.590618,-83.470062,1794,"pensylvanica",0,542.75,17,9.5,2017,4,22,2017-04-22,112
"NY",40.667068,-73.991501,15,"serrulata",1,676.5,16,7,2017,4,23,2017-04-23,113
"CA",41.709045,-121.514771,1506,"emarginata",0,377.5,9,0.5,2017,4,24,2017-04-24,114
"TN",35.590618,-83.470062,1794,"pensylvanica",0,581.75,17.5,6.5,2017,4,26,2017-04-26,116
"NY",40.866119,-73.879341,25,"yedoensis",0,737.5,26.5,13.5,2017,4,28,2017-04-28,118
"TN",35.590618,-83.470062,1794,"pensylvanica",0,624.25,22.5,10.5,2017,4,29,2017-04-29,119
"MD",38.984661,-76.93821,24,"yedoensis",0,283,15.5,7,2018,3,1,2018-03-01,60
"MD",38.989643,-76.940872,26,"yedoensis",0,291.25,9.5,2,2018,3,3,2018-03-03,62
"MD",38.984295,-76.944366,50,"yedoensis",0,296.75,10,1,2018,3,4,2018-03-04,63
"MD",38.983994,-76.935974,21,"yedoensis",0,306.75,9.5,-1,2018,3,5,2018-03-05,64
